term	warmth (W)	competence (C)	sociability (S)	trust (T)
a couple	0.952	0.090	0.952	0.528
a further	0.083	-0.122	0.000	0.083
a goner	-0.625	-0.354	-0.625	-0.528
a good	0.810	0.388	0.810	0.222
a kickback	-0.848	-0.142	0.333	-0.848
a mere	0.000	-0.066	0.000	0.000
a no-brainer	0.633	-0.234	0.619	0.633
a peach	0.944	-0.138	0.944	0.200
a pleasure	0.963	0.068	0.963	0.222
a plus	0.444	0.130	0.444	0.273
a sec	0.286	-0.366	0.286	-0.091
a shame	-0.630	-0.180	-0.630	0.000
a smokescreen	-0.583	-0.404	-0.583	-0.583
a sport	0.833	0.142	0.833	0.042
a student	0.857	0.064	0.857	0.600
a treat	1.000	0.124	1.000	0.182
aback	-0.190	-0.424	-0.190	-0.033
abandon	-0.758	-0.599	-0.758	-0.667
abandoned	-0.857	-0.740	-0.857	-0.467
abandoner	-0.933	-0.704	-0.875	-0.933
abandonment	-0.857	-0.596	-0.857	-0.758
abase	-0.733	-0.958	-0.714	-0.733
abased	-0.778	-0.917	-0.778	-0.545
abasement	-0.750	-0.958	-0.750	-0.639
abashed	0.389	-0.386	0.389	0.000
abashedly	-0.433	-0.958	0.048	-0.433
abashment	-0.333	-0.778	-0.333	-0.303
abate	-0.125	0.208	-0.125	-0.067
abatement	0.389	-0.328	-0.333	0.389
abdicate	-0.583	-0.889	-0.583	-0.576
abdication	-0.667	-0.714	-0.667	-0.061
abdicator	-0.667	-0.917	-0.667	-0.515
abduct	-1.000	0.230	-1.000	-1.000
abducted	-0.727	-0.556	-0.714	-0.727
abductee	-0.333	-0.958	-0.333	-0.333
abduction	-0.905	-0.276	-0.905	-0.818
abductor	-0.958	0.833	-0.958	-0.767
aberrant	-0.639	-0.138	-0.625	-0.639
aberration	-0.571	-0.166	-0.571	-0.242
abeyance	-0.238	-0.416	-0.238	0.121
abhor	-0.852	-0.302	-0.852	-0.111
abhorrence	-0.917	-0.160	-0.917	-0.100
abhorrent	-0.952	-0.052	-0.952	-0.861
abhorrently	-1.000	0.074	-1.000	-0.889
abide	0.758	0.410	0.741	0.758
abider	0.833	0.037	0.500	0.833
abiding	0.952	0.500	0.952	0.708
abilities	0.472	0.708	0.042	0.472
ability	0.267	0.563	0.267	0.152
abject	-0.750	-0.166	-0.750	-0.485
abjection	-0.926	-0.952	-0.926	-0.727
abjectly	-0.667	-0.792	-0.667	-0.296
abjectness	-0.714	-1.000	-0.714	-0.424
ablaze	0.667	0.050	0.667	0.033
able	0.762	0.620	0.762	0.762
abloom	0.852	-0.083	0.852	0.000
ably	0.694	0.778	0.407	0.694
abnormal	-0.667	-0.382	-0.667	-0.455
abnormality	-0.583	-0.234	-0.583	-0.303
abnormally	-0.208	-0.296	-0.208	-0.061
aboard	0.333	-0.038	0.333	0.111
abolishable	-0.542	0.000	-0.542	-0.111
abolishment	-0.593	0.619	-0.593	-0.139
abolitionary	-0.333	0.458	-0.333	0.286
abolitionism	0.875	0.778	0.875	0.848
abolitionist	0.939	0.917	0.917	0.939
abominable	-1.000	-0.036	-1.000	-0.727
abominableness	-1.000	-0.593	-1.000	-1.000
abominably	-0.875	-0.611	-0.875	-0.800
abominate	-0.933	-0.268	-0.905	-0.933
abomination	-1.000	0.036	-0.958	-1.000
abominator	-0.958	0.667	-0.958	-0.848
abort	-0.708	-0.142	-0.708	-0.487
abortion	-0.619	-0.434	-0.619	-0.030
abortionist	-0.619	0.963	-0.619	-0.333
abortive	-0.583	-0.440	-0.583	-0.455
abortively	-0.667	-0.792	-0.667	-0.455
abound	0.542	0.362	0.542	0.200
about face	-0.444	0.034	-0.292	-0.444
about time	0.222	-0.062	0.222	0.152
above	0.125	0.068	0.125	0.121
above all	0.611	0.206	0.167	0.611
above water	0.182	0.034	0.111	0.182
aboveboard	0.900	0.571	0.852	0.900
aboveground	0.417	0.259	0.381	0.417
abracadabra	0.333	-0.132	0.333	-0.067
abrasive	-0.667	0.186	-0.667	-0.606
abrasively	-0.750	0.857	-0.750	-0.636
abrasiveness	-0.708	-0.500	-0.708	-0.697
abreast	0.067	0.038	0.000	0.067
abridgement	0.306	0.000	-0.125	0.306
abroad	0.056	0.122	0.056	0.000
abrogate	-0.625	0.188	-0.625	-0.500
abrupt	-0.571	0.090	-0.571	-0.100
abruption	-0.583	-0.481	-0.583	-0.455
abruptly	-0.583	0.112	-0.583	-0.182
abruptness	-0.611	0.148	-0.611	-0.185
abscess	-0.810	-0.302	-0.810	-0.133
abscond	-0.867	0.542	-0.792	-0.867
absconder	-0.972	-0.500	-0.852	-0.972
absence	-0.583	-0.468	-0.583	-0.061
absent	-0.583	-0.768	-0.583	-0.121
absentee	-0.625	-0.442	-0.625	-0.515
absently	-0.667	-0.630	-0.667	-0.242
absentmindedness	-0.250	-0.625	-0.083	-0.250
absentness	-0.630	-0.958	-0.630	-0.185
absolutely not	-0.619	-0.300	-0.619	-0.067
absoluteness	0.515	0.815	-0.095	0.515
absolution	0.800	0.328	0.619	0.800
absolutist	-0.600	1.000	-0.600	-0.030
absolvable	0.455	-0.250	0.250	0.455
absolve	0.667	0.320	0.667	0.639
absolvent	0.185	0.667	-0.042	0.185
absorbability	0.000	-0.083	0.000	0.000
absorbable	0.205	0.222	0.000	0.205
absorptive	0.030	-0.208	0.000	0.030
abstain	0.625	-0.146	-0.375	0.625
abstention	0.394	0.018	-0.333	0.394
abstentious	-0.571	-0.375	-0.571	0.528
abstinence	0.727	-0.142	-0.429	0.727
abstinently	0.633	-0.458	-0.444	0.633
absurd	-0.611	-0.432	-0.611	-0.333
absurdist	-0.417	0.333	-0.417	-0.121
absurdity	-0.583	-0.546	-0.583	-0.333
absurdly	-0.455	-0.167	-0.375	-0.455
absurdness	-0.667	-0.333	-0.667	-0.182
abundance	0.952	0.704	0.952	0.167
abundant	0.889	0.520	0.889	0.267
abundantly	0.714	0.286	0.714	0.139
abuse	-1.000	-0.062	-1.000	-0.879
abused	-0.852	-0.530	-0.852	-0.700
abuser	-1.000	-0.434	-0.952	-1.000
abusive	-0.952	0.134	-0.952	-0.909
abusively	-0.963	0.370	-0.963	-0.909
abusiveness	-1.000	0.917	-1.000	-0.963
aby	-0.042	-0.264	-0.042	-0.037
abysmal	-0.958	0.196	-0.958	-0.556
abysmally	-0.792	-0.958	-0.792	-0.788
abyss	-0.750	-0.408	-0.750	-0.033
academic	0.697	0.624	0.000	0.697
academic freedom	0.792	0.200	0.708	0.792
academic year	0.167	0.290	0.048	0.167
academically	0.615	0.407	-0.429	0.615
academy	0.636	0.584	-0.042	0.636
academy award	0.917	0.556	0.917	0.606
academy awards	0.762	0.500	0.762	0.606
acapulco	0.583	0.042	0.583	0.000
accede	0.533	0.074	0.524	0.533
accelerant	-0.417	0.604	-0.250	-0.417
acceleration	0.222	0.686	0.000	0.222
acceleratory	0.000	0.708	0.000	0.000
accentual	0.000	0.296	0.000	0.000
accentuate	0.190	0.334	0.190	0.000
accentuation	0.083	0.583	0.083	0.000
accept	0.911	0.130	0.911	0.515
acceptability	0.758	0.407	0.619	0.758
acceptable	0.700	0.166	0.500	0.700
acceptableness	0.583	0.296	0.583	0.576
acceptably	0.533	0.208	0.286	0.533
acceptance	0.958	0.510	0.958	0.500
acceptances	0.875	0.296	0.875	0.576
acceptant	0.762	-0.481	0.762	0.625
acceptor	0.762	0.037	0.762	0.444
access	0.200	0.134	0.125	0.200
accessary	-0.242	-0.208	-0.042	-0.242
accessibility	0.875	0.026	0.875	0.515
accessible	0.905	0.290	0.905	0.788
accessibly	0.889	0.222	0.889	0.333
accessorize	0.167	0.143	0.167	0.061
accident	0.000	-0.328	0.000	0.000
accidental	0.083	-0.386	-0.056	0.083
accidentally	0.033	-0.334	0.000	0.033
accidently	-0.056	-0.542	-0.056	0.000
acclaimer	0.524	0.611	0.524	0.444
acclamation	0.905	0.593	0.905	0.273
acclamatory	0.810	0.667	0.810	0.121
acclimate	0.556	0.250	0.556	0.083
acclimation	0.400	0.458	0.333	0.400
acclimatization	0.375	0.125	0.375	0.121
acclimatize	0.458	0.476	0.458	0.182
accolade	0.905	0.550	0.905	0.733
accommodate	0.906	0.132	0.906	0.556
accommodation	0.875	0.174	0.875	0.576
accommodative	0.917	-0.222	0.917	0.727
accommodator	0.958	-0.167	0.958	0.515
accompanied	0.917	-0.208	0.917	0.800
accompanier	0.857	0.111	0.857	0.593
accompaniment	0.833	0.390	0.833	0.167
accompanist	0.833	-0.333	0.833	0.564
accompany	0.892	0.170	0.892	0.606
accompanying	0.810	0.164	0.810	0.515
accomplish	0.815	0.632	0.815	0.250
accomplishable	0.458	0.875	0.458	0.121
accomplished	0.606	0.596	0.556	0.606
accomplisher	0.857	0.889	0.857	0.606
accomplishment	0.267	0.776	0.190	0.267
accord	0.905	-0.236	0.905	0.528
accordable	0.524	0.048	0.524	0.212
accordance	0.606	0.200	0.095	0.606
accordant	0.630	0.238	0.630	0.545
according to	0.500	0.112	0.111	0.500
accost	-0.667	0.792	-0.667	-0.472
accountability	0.879	0.666	0.833	0.879
accountable	0.933	0.554	0.933	0.909
accountant	0.722	0.278	-0.296	0.722
accounts receivable	-0.286	0.354	-0.286	0.083
accoutrement	0.091	0.542	0.000	0.091
accredit	0.667	0.619	0.458	0.667
accreditation	0.593	0.667	0.190	0.593
accredited	0.459	0.515	0.333	0.459
accruement	0.139	0.519	0.000	0.139
accumulative	0.222	0.542	-0.111	0.222
accurate	0.473	0.474	0.190	0.473
accurately	0.818	0.556	0.037	0.818
accurateness	0.926	0.800	0.074	0.926
accurse	-0.879	-0.167	-0.714	-0.879
accursed	-0.909	-0.310	-0.708	-0.909
accursedly	-0.889	-0.583	-0.833	-0.889
accursedness	-1.000	-0.815	-1.000	-0.861
accusable	-0.625	-0.667	-0.625	-0.485
accusation	-0.606	0.128	-0.556	-0.606
accusative	-0.524	-0.036	-0.524	-0.500
accusatively	-0.667	0.238	-0.667	-0.545
accusatorial	-0.600	0.778	-0.600	-0.576
accusatorially	-0.722	0.583	-0.722	-0.633
accusatory	-0.667	0.926	-0.667	-0.528
accuse	-0.600	0.000	-0.583	-0.600
accused	-0.667	-0.160	-0.583	-0.667
accused of	-0.667	-0.276	-0.667	-0.636
accuser	-0.542	0.230	-0.542	-0.455
accusing	-0.667	-0.352	-0.667	-0.455
accustom	0.458	0.148	0.458	0.121
ace	0.556	0.092	0.429	0.556
acerbic	-0.750	0.250	-0.750	-0.455
acetic	-0.429	0.038	-0.429	0.033
acetylene	-0.267	0.009	-0.267	0.037
ache	-0.381	-0.376	-0.381	-0.061
achievable	0.476	0.556	0.476	0.242
achieve	0.939	0.686	0.750	0.939
achieve success	0.857	0.750	0.857	0.758
achieved	0.727	0.550	0.167	0.727
achievement	0.778	0.518	0.190	0.778
achiever	0.667	1.000	0.667	0.639
achilles heel	-0.250	-0.206	-0.222	-0.250
achiness	-0.091	-0.958	-0.083	-0.091
aching	-0.333	-0.304	-0.333	-0.028
achy	-0.292	-0.254	-0.292	-0.139
acid	-0.619	0.132	-0.619	-0.194
acid rain	-0.619	-0.334	-0.619	-0.238
acidic	-0.667	0.074	-0.667	-0.061
acidification	-0.519	-0.571	-0.519	-0.111
acidity	-0.625	-0.280	-0.625	0.000
acidize	-0.667	0.407	-0.667	-0.667
acidly	-0.667	0.458	-0.667	-0.481
acknowledge	0.810	0.322	0.810	0.767
acknowledgeable	0.636	0.458	0.556	0.636
acknowledged	0.697	0.530	0.667	0.697
acknowledgement	0.875	0.660	0.875	0.593
acknowledger	0.778	0.111	0.778	0.515
acknowledgment	0.857	0.554	0.857	0.697
acne	-0.500	-0.384	-0.500	-0.074
acolyte	0.708	-0.375	0.708	0.545
acoustical	0.030	0.125	0.027	0.030
acquaint	0.667	0.278	0.667	0.067
acquaintance	0.481	0.340	0.481	0.222
acquaintanceship	0.500	0.000	0.500	0.167
acquainted	0.583	0.264	0.583	0.394
acquirable	0.167	0.370	0.048	0.167
acquire	0.381	0.400	0.381	0.296
acquired	0.048	0.556	0.048	0.033
acquiring	0.300	0.634	0.042	0.300
acquisition	-0.222	0.472	-0.222	0.152
acquisitions	0.152	0.580	0.000	0.152
acquisitively	-0.704	0.630	-0.704	-0.074
acquisitiveness	-0.567	0.708	-0.381	-0.567
acquittal	0.762	0.400	0.762	0.704
acreage	0.000	0.056	0.000	0.000
acrid	-0.667	0.500	-0.667	-0.524
acridity	-0.625	-0.148	-0.625	-0.556
acridly	-0.667	0.167	-0.667	-0.576
acridness	-0.792	-0.542	-0.792	-0.556
acrimonious	-0.857	0.583	-0.857	-0.606
acrimoniously	-0.833	-0.375	-0.833	-0.606
acrimoniousness	-0.926	-0.556	-0.926	-0.611
acrimony	-0.889	-0.292	-0.889	-0.867
acrobat	0.292	0.204	0.292	0.061
acrobatic	0.407	0.519	0.407	0.111
acrobatically	0.028	0.708	0.000	0.028
acronym	0.030	0.000	0.000	0.030
acrophobia	-0.250	-0.704	-0.250	0.030
acropolis	0.083	0.762	0.083	0.033
across	0.000	0.000	0.000	0.000
across from	0.061	-0.060	0.037	0.061
act	0.571	0.470	0.571	0.128
act out	-0.458	-0.088	-0.458	-0.424
acting	0.250	0.000	0.250	-0.167
acting out	-0.633	-0.300	-0.417	-0.633
action	0.636	0.604	0.500	0.636
action movie	0.000	0.108	0.000	0.000
actionable	0.212	0.226	0.000	0.212
activate	0.458	0.612	0.458	0.194
activated	0.370	0.571	0.370	0.100
activation	0.458	0.508	0.458	0.242
activator	0.381	0.667	0.381	0.061
active	0.810	0.462	0.810	0.564
actively	0.667	0.667	0.667	0.111
activeness	0.583	0.708	0.583	0.133
activity	0.905	0.614	0.905	0.152
actor	0.519	0.258	0.519	0.083
actress	0.571	0.192	0.571	0.061
actual	0.815	0.432	0.000	0.815
actuality	0.630	0.200	0.000	0.630
actualization	0.792	0.722	0.792	0.567
actualize	0.133	0.630	0.042	0.133
actually	0.152	0.000	0.125	0.152
acupressure	0.571	0.333	0.571	0.242
ad hominem	-0.815	-0.034	-0.714	-0.815
ad nauseam	-0.417	-0.034	-0.417	-0.222
adamant	0.633	0.150	-0.407	0.633
adapt	0.704	0.102	0.500	0.704
adaptability	0.958	0.667	0.958	0.704
adaptable	0.833	0.282	0.833	0.636
adaptation	0.370	0.218	0.370	0.100
adaption	0.619	0.542	0.619	0.100
adaptive	0.571	0.625	0.571	0.167
adaptively	0.375	0.417	0.375	0.273
adaptor	0.333	0.292	0.333	0.000
add	0.762	0.108	0.762	0.000
add on	0.148	0.034	0.148	0.000
add up	0.625	-0.134	0.625	0.567
addams family	-0.519	0.124	-0.519	0.056
added value	0.833	0.516	0.833	0.636
addendum	0.091	-0.164	0.000	0.091
adder	-0.667	0.176	-0.667	-0.611
addict	-0.636	-0.346	-0.583	-0.636
addicted	-0.667	-0.034	-0.667	-0.636
addictedness	-0.708	-0.778	-0.708	-0.667
addiction	-0.833	-0.160	-0.833	-0.667
addictive	-0.542	-0.056	-0.542	-0.515
addictiveness	-0.545	-0.600	-0.524	-0.545
additional	0.222	0.052	0.037	0.222
additionally	0.481	0.056	0.292	0.481
addlebrained	-0.556	-0.750	-0.458	-0.556
addled	-0.767	-0.625	-0.542	-0.767
address	0.400	0.134	0.400	0.182
addressable	0.500	0.583	0.444	0.500
adeptly	0.194	0.815	0.111	0.194
adeptness	0.200	0.704	0.000	0.200
adequate	0.545	0.410	0.042	0.545
adequately	0.600	0.222	0.000	0.600
adequateness	0.300	0.571	0.095	0.300
adhd	0.067	-0.072	-0.056	0.067
adhere	0.818	0.108	0.375	0.818
adherence	0.697	0.260	0.500	0.697
adieu	-0.292	-0.316	-0.292	0.042
adipose	-0.500	-0.218	-0.500	0.091
adjacency	0.000	-0.250	0.000	0.000
adjacent	0.121	0.072	0.000	0.121
adjacent to	0.167	-0.068	0.000	0.167
adjourn	0.182	-0.050	-0.037	0.182
adjust	0.429	0.276	0.429	0.042
adjustability	0.667	0.476	0.667	0.233
adjustable	0.303	0.389	0.238	0.303
admin	0.533	0.708	0.000	0.533
administer	0.667	0.720	0.375	0.667
administrable	0.267	0.667	0.000	0.267
administration	0.800	0.572	0.000	0.800
admirable	0.970	0.740	0.944	0.970
admirably	0.833	0.500	0.833	0.700
admiral	0.700	0.694	0.481	0.700
admiralship	0.528	1.000	0.208	0.528
admiration	0.926	0.452	0.926	0.767
admire	1.000	0.408	1.000	0.606
admired	1.000	0.630	1.000	0.697
admirer	0.952	0.300	0.952	0.545
admiring	1.000	0.258	1.000	0.545
admissibility	0.200	0.204	0.095	0.200
admissible	0.485	0.284	0.000	0.485
admission	0.571	0.464	0.571	0.303
admittance	0.375	0.196	0.375	0.333
admitted	0.606	0.534	0.389	0.606
admonish	-0.556	0.667	-0.556	0.481
admonisher	0.500	0.762	-0.286	0.500
admonishment	0.519	0.583	-0.500	0.519
admonition	-0.471	-0.090	-0.471	0.400
adolescent	0.458	0.018	0.458	0.121
adopt	1.000	0.402	1.000	0.242
adoptability	0.833	0.095	0.833	0.167
adoptable	0.958	-0.250	0.958	0.067
adopter	1.000	0.370	1.000	0.394
adoption	1.000	0.178	1.000	0.818
